City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,nosy varika,-20.5833,48.5333,20.04,88,52,1.72,MG,1717449285
111,tura,25.5198,90.2201,22.11,91,100,1.43,IN,1717449285
112,ribeira grande,38.5167,-28.7,19.32,82,20,3.6,PT,1717449285
113,queenstown,-31.8976,26.8753,4.36,70,31,11.19,ZA,1717449285
114,natal,-5.795,-35.2094,27.36,83,75,1.54,BR,1717449072
115,yenangyaung,20.4667,94.8833,26.92,73,100,5.16,MM,1717449285
116,tashtyp,52.7939,89.8983,6.07,94,58,2.23,RU,1717449285
117,polyarnyy,69.1989,33.4478,11.07,88,0,1.73,RU,1717449285
118,hanceville,34.0607,-86.7675,30.09,72,96,2.15,US,1717449286
119,tralee,52.2704,-9.7026,12.59,94,100,1.95,IE,1717449265
120,atafu village,-8.5421,-172.5159,28.86,75,95,4.86,TK,1717449286
121,fort bragg,35.139,-79.006,29.14,78,100,5.66,US,1717449286
122,tonekabon,36.8163,50.8738,21.97,49,0,2.68,IR,1717449286
123,hadibu,12.65,54.0333,28.32,78,99,5.76,YE,1717449287
124,bethel,41.3712,-73.414,29.8,39,75,2.06,US,1717449287
125,vadso,70.0744,29.7487,12.49,93,20,0.0,NO,1717449287
126,torbat-e heydariyeh,35.274,59.2195,20.69,34,0,6.28,IR,1717449287
127,vorgashor,67.5833,63.95,-6.78,98,100,0.99,RU,1717449287
128,fray luis beltran,-39.3167,-65.7667,10.21,42,100,8.08,AR,1717449287
129,princeville,45.7668,-61.2985,16.35,87,100,5.36,CA,1717449287
130,portage la prairie,49.9728,-98.2926,21.17,53,75,4.12,CA,1717449288
131,ikang,4.7898,8.5316,24.83,95,51,1.57,NG,1717449288
132,brisas de zicatela,15.8369,-97.0419,32.29,79,100,3.09,MX,1717449288
133,kayangel,8.0823,134.7173,29.02,70,100,1.51,PW,1717449288
134,lompoc,34.6391,-120.4579,25.47,72,100,10.29,US,1717449288
135,awjilah,29.1081,21.2869,35.52,12,100,6.54,LY,1717449288
136,huarmey,-10.0681,-78.1522,20.99,72,1,3.84,PE,1717449288
137,port elizabeth,-33.918,25.5701,13.16,94,0,3.09,ZA,1717449288
138,sitka,57.0531,-135.33,10.94,76,75,2.06,US,1717449289
139,noyabrsk,63.1994,75.4507,0.13,84,15,3.13,RU,1717449289
140,paphos,34.7667,32.4167,24.88,57,0,2.57,CY,1717449289
141,huangshi,30.2042,115.0776,21.35,67,100,2.34,CN,1717449289
142,margate,51.3813,1.3862,17.61,81,100,0.89,GB,1717449151
143,jiwani,25.05,61.7417,28.86,84,16,4.54,PK,1717449289
144,acarau,-2.8856,-40.12,26.15,86,11,4.49,BR,1717449290
145,tazovsky,67.4667,78.7,-3.39,96,100,5.43,RU,1717449290
146,san luis de la loma,17.2706,-100.8939,31.68,48,73,5.99,MX,1717449290
147,markovo,57.3206,107.0881,9.08,81,93,1.2,RU,1717449290
148,rongelap,11.1635,166.8941,27.78,82,100,8.57,MH,1717449290
149,santa maria,-29.6842,-53.8069,10.35,83,1,3.23,BR,1717449042
150,egilsstadir,65.2653,-14.3948,2.95,70,100,7.72,IS,1717449290
151,ulety,51.3572,112.4849,10.87,94,99,1.09,RU,1717449290
152,arraial do cabo,-22.9661,-42.0278,23.92,83,75,3.09,BR,1717449290
153,namibe,-15.1961,12.1522,18.84,71,18,0.42,AO,1717449291
154,talara,-4.5772,-81.2719,23.42,68,0,7.72,PE,1717449291
